Title,Price (€),Avg Review,Review Count,Availability,Delivery,Has Prime,Image,ASIN,Brand,Model Number,Product Dimensions,Item Weight,Best Sellers Rank,URL
Comfyable 33 cm 14 inch Padded Laptop Sleeve Carry Case for MacBook Air M4 2025 M3 M2 M1 MacBook Pro M4 Pro/Max Rice White,25.73,4.7,1964,In stock,"FREE delivery Thursday, 4 December. Order within 21 hrs 47 mins",Yes,https://m.media-amazon.com/images/I/51u-bT0CBkL._AC_SX679_.jpg,B0BHW2975C,,,‎36 x 25 x 3 cm; 350 g,‎350 g,,https://aax-eu.amazon.nl/x/c/JIcaazgp5UoRiia7qaAYM-oAAAGa2WVm2AMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICDSsluT/clv1_CEuOPUxokZA0iHrVaMJw6iH8Wk9HA7pk781WxzaSycZx139bsQr7OP018HHz9hvVjq0yzpNb3XnMfU0fAmcAB1h7LQa6EM7IE24uRFtsU1yLE5QiskfB8IkGXCQZUuW6XJeXalC7rdIQEQQ8kV_3ZVhXLA8QC8x8H15tWbp4SRWS0aSJkEohXxuzLJWvKbYuDzUcfMyagcpNBHhtJZhsefQQh8yliMIIKin6O61_zAYOsoJhkeWuV2gvjBmW5lJBN2PMN-SRnR9AjX0lL9xFahCwdXiTzSjwM7ud24izaJsmYmWl1aK1xkuNcA7FBIOT3_cq0eVrbNPflpL5Dua_CpRb3-RmYjAfo4oi3PYwG7UNw10jCROW_yWr3JYqfnqDdhxLjmOcuEwx-BDIB-qsZkJEf5T7hPBne-wSBml9tlZkUux_rAVrRF9I0bxcInE7B-SzTerxncKfUiU5AmivnrILanCo32GhbDJIe6lnr_OWNERglpem8znmTGFeD4bpkfBkqz8eJ7Yhgi65qQq-3SLeZRREKloABRGNXQ3rH7TzdC7-JC528VwgO2bSLVbCaqYMtfFhe22klod-itw1XljdPC46nAx8y_Q_saGjvEAat6-m4bEYPW3e5AK5a6OUFmEaTc0_BDRR8sxrK5FA4WRB9aDSOCglanoKvc166KZLIEcdMSaTvk5HkBj8Tddr6xcp62Yw9vcq8M0hInuTF2Qc9YT3NfHd0bj5fHMZEATtnSGoQ91RwiFPy9sXdOWWnaJINyzJpRTR7yu5NUPUHzlNrSnxI2Fr_phofMEBQSaV5nwrGPxUnyVgn6qOF1CtVr-ydytC0AnKuOd5e5FolbawolE4zNOlE_Wtos-7vGmS3VT1sW4h-wjMh1yUuAjRqaUBhfc5sA3lQuYcX745FtS3-sqfpDdwKScBDgPLkRSFkj1LUDUVSGo2fz26-EG0iDyfcd_Z6aGJv-3nzC-GALpOP7_ie4Xr236hDRFQOcAaQRpQTlZTTKXX6g_rJFk3Myym8JZJ0yEIabM626ed8zQ8vT9OV-el-FN245Z-jxBoUki4bbuZBQ3gWatfffBsN22EVa7PG2kHFra9Y569sPzmannh2bd9KJA3WjVrNrG6EESMOe1LpUFGN5u9r9jTrMU5Tt7ikAMtH-J1rUc_OgA3UOX-W3HyLIIus4rni6KA6C-R1i796ZgnhBNZYfoGNCe6dEz90E3TQRc9tlntO_zH2el8u6dOqxqR24NNDkT8M2UYRhuHxU65sksMLob6YLsAlOuVWXr4YZ47Urwsl3EH5rRgjqaWzgujzWmsC9CvKdFbc9nQnosrjzq0-KU6B4EDfhWb9Rvms9gVSFkDzL_q4PMb6nJ0ccVeDtpWs9ornESVHleGg8alPUaCdZZkFw3tdVO2SH7cXhFHcJO2a72ptUOIKWRa1YI698bPkk1jMgNZ0PUqLP0lDzH9Nwmly3UzDWT-h-OWnTyfMCPRTljT0R6pQuY34J4a9OsV30cB9GHkOFKQMQMk1YY1n9mT12H7Q3hKf_xObrXjUsA2Kibiopb8NEjbZ3CwApoKuZyu68a6uKa-U6BiAsRbr8RQedrzGEz95qrbUf7pGEcFYRVF0-fX_rsVj5bu80LM7tqwN1ztG1ObrxoPgGJcTKa_dTnmJnHC4rhHVk-KqTB5loNWdBXQUHwWHLBDl_cgX96DK-4Zv4zcbVx25PuC8fGHhalRWY-IgyRR4WO1m88cdQWz8BkCtS2MjdlHIhCbzmeKis7a5M0-Nrh3_EXuNeR7i6k04g-XmYgnf9JhZoBw7VJwPcvtnHLWV6ytCimIj5ShPaO4yqcM3P8RW6WG6sN-kRIua91WIqcfpcH8Z1L5N5HKob5OUPCcaulpVjFFvSBBu-jpG52OgFUNdK-kztUMtOfdcQ93v8mN1wBIagrQFte-nhEI4Oc0bb39tZ4_klYRLRlvyJbuZ4E76wOiEBFjm57BSVkXJJKIl6fYUZqlenDzvJlDdVqEY-4fJFyAFdDyckWDrn1XyQlIEoqW14r5rWmZlz42iW-UBpqWorB7Ri8tqywDZLnnQO52IcM4BflD1MAIdQRRJ-ApnGopAo_SoDcNaF5kF9T1fGGLCjbkNGEucM-v0MTDKrlIxlFREP2kR9B8UjOJL-4um5km4ky_EiY9mjhsfT1-RT6UHg_q_iKTVraQ6wp0tnedPIdMSLciGKDTI4ftHe9R-hggjEQO1NSBA43ujLDjjIZ3VLM0_KzJvZh8ti4N_tnacA9oyNAXY4QRZi_m17LuQsPlg49CM0m7a5KKlVfcujpEI581dbzHd6LXxxZ1faChAZdwJT8Hms8kjHm-1LnjnLKYi00/https://www.amazon.nl/dp/B0BHW2975C/?_encoding=UTF8&aref=vcdfHXGC9n&pd_rd_i=B0BHW2975C&ref_=sbx_be_s_sparkle_ssd_rev&qid=&pd_rd_w=Og7Wt&content-id=amzn1.sym.43cf5ee3-7bdd-4279-b6d9-4846d55dbdc3%3Aamzn1.sym.43cf5ee3-7bdd-4279-b6d9-4846d55dbdc3&pf_rd_p=43cf5ee3-7bdd-4279-b6d9-4846d55dbdc3&pf_rd_r=CJ2CHH6VG2A6SZD6YSYN&pd_rd_wg=f8m8F&pd_rd_r=a65a067a-830f-4a41-9dfb-875c71898e53&pd_rd_plhdr=t
"2025 Newest Portable Monitor 15.6 Inch, FHD 1080P IPS Ultra Slim With Kickstand, USB Connection For Laptop, PC, Mac, PS4/5, Xbox and Switch",63.49,4.5,195,In stock,"FREE delivery Tomorrow, 2 December. Order within 12 hrs 2 mins",Yes,https://m.media-amazon.com/images/I/71GnA9jckyL._AC_SX679_.jpg,‎B0DF7FB27H,‎Dopesplay,,‎1.3 x 36.2 x 36.2 cm; 660 g,,,https://www.amazon.nl/-/en/Dopesplay-Portable-Monitor-Kickstand-Connection/dp/B0DF7FB27H/ref=sr_1_225
"HP OmniBook Ultra 14-fd0010nd 14"" 2240 x 1400 pixels Touchscreen AMD Ryzen AI 9 16GB 1000GB SSD",899.0,,,In stock,"FREE delivery Thursday, 4 December. Order within 12 hrs 46 mins",Yes,https://m.media-amazon.com/images/I/81dAKnF+FsL._AC_SX679_.jpg,‎B0DVCCYHNQ,‎HP,,‎22.76 x 31.51 x 1.64 cm; 1.57 kg,,,https://www.amazon.nl/-/en/OmniBook-14-fd0010nd-pixels-Touchscreen-1000GB/dp/B0DVCCYHNQ/ref=sr_1_133
Lenovo IdeaPad Slim 5 Laptop | 14 Inch OLED Display | Intel Core i7-13620H | 16GB RAM | 512GB SSD | Intel Graphics | Windows 11 Home | QWERTZ | Grey | 3 Months Premium Care,699.62,4.6,37,Only 2 left in stock.,"FREE delivery Friday, 5 December. Order within 12 hrs 46 mins",No,https://m.media-amazon.com/images/I/71s6Hw-TwxL._AC_SX679_.jpg,‎B0DDCRR1QS,‎Lenovo,,,,,https://www.amazon.nl/-/en/IdeaPad-Display-i7-13620H-Graphics-Windows/dp/B0DDCRR1QS/ref=sr_1_105
"ASUS ROG Zephyrus G16 GA605KP-QR022W | 16"" | OLED | AMD Ryzen AI 7 350 | 32GB RAM | 1TB SSD | NVIDIA GeForce RTX 5070 | Windows OS | QWERTY Keyboard",99.0,4.0,1,Only 5 left in stock.,"FREE delivery Friday, 5 December. Order within 12 hrs 45 mins",Yes,https://m.media-amazon.com/images/I/71koHMfmWcL._AC_SX679_.jpg,‎B0F6NVVKCF,‎ASUS,,‎35.4 x 24.6 x 1.64 cm; 4.15 kg,,,https://www.amazon.nl/-/en/Zephyrus-GA605KP-QR022W-GeForce-Windows-Keyboard/dp/B0F6NVVKCF/ref=sr_1_154
"HP Laptop with 17.3 inch FHD display, AMD Ryzen 3 7320U, 8GB DDR5 RAM, 512GB SSD, AMD Radeon graphics, Windows 11, QWERTZ, black, incl. 25GB Dropbox memory for 12 months",405.18,4.4,1346,In stock,"FREE delivery Friday, 5 December. Order within 23 hrs",No,https://m.media-amazon.com/images/I/81eU8FvYq8L._AC_SX679_.jpg,‎B0CP461JTT,‎HP,,,,,https://www.amazon.nl/-/en/Laptop-display-graphics-Windows-Dropbox/dp/B0CP461JTT/ref=sr_1_46
Comfyable 33 cm 14 inch Padded Laptop Sleeve Carry Case for MacBook Air M4 2025 M3 M2 M1 MacBook Pro M4 Pro/Max Rice White,25.73,4.7,1964,In stock,"FREE delivery Thursday, 4 December. Order within 21 hrs 44 mins",Yes,https://m.media-amazon.com/images/I/51u-bT0CBkL._AC_SX679_.jpg,B0BHW2975C,,,‎36 x 25 x 3 cm; 350 g,‎350 g,,https://aax-eu.amazon.nl/x/c/JIcaazgp5UoRiia7qaAYM-oAAAGa2WVm2AMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICDSsluT/clv1_CEuOPUxokZA0iHrVaMJw6iH8Wk9HA7pk781WxzaSycZx139bsQr7OP018HHz9hvVjq0yzpNb3XnMfU0fAmcAB1h7LQa6EM7IE24uRFtsU1yLE5QiskfB8IkGXCQZUuW6XJeXalC7rdIQEQQ8kV_3ZVhXLA8QC8x8H15tWbp4SRWS0aSJkEohXxuzLJWvKbYuDzUcfMyagcpNBHhtJZhsefQQh8yliMIIKin6O61_zAYOsoJhkeWuV2gvjBmW5lJBN2PMN-SRnR9AjX0lL9xFahCwdXiTzSjwM7ud24izaJsmYmWl1aK1xkuNcA7FBIOT3_cq0eVrbNPflpL5Dua_CpRb3-RmYjAfo4oi3PYwG7UNw10jCROW_yWr3JYqfnqDdhxLjmOcuEwx-BDIB-qsZkJEf5T7hPBne-wSBml9tlZkUux_rAVrRF9I0bxcInE7B-SzTerxncKfUiU5AmivnrILanCo32GhbDJIe6lnr_OWNERglpem8znmTGFeD4bpkfBkqz8eJ7Yhgi65qQq-3SLeZRREKloABRGNXQ3rH7TzdC7-JC528VwgO2bSLVbCaqYMtfFhe22klod-itw1XljdPC46nAx8y_Q_saGjvEAat6-m4bEYPW3e5AK5a6OUFmEaTc0_BDRR8sxrK5FA4WRB9aDSOCglanoKvc166KZLIEcdMSaTvk5HkBj8Tddr6xcp62Yw9vcq8M0hInuTF2Qc9YT3NfHd0bj5fHMZEATtnSGoQ91RwiFPy9sXdOWWnaJINyzJpRTR7yu5NUPUHzlNrSnxI2Fr_phofMEBQSaV5nwrGPxUnyVgn6qOF1CtVr-ydytC0AnKuOd5e5FolbawolE4zNOlE_Wtos-7vGmS3VT1sW4h-wjMh1yUuAjRqaUBhfc5sA3lQuYcX745FtS3-sqfpDdwKScBDgPLkRSFkj1LUDUVSGo2fz26-EG0iDyfcd_Z6aGJv-3nzC-GALpOP7_ie4Xr236hDRFQOcAaQRpQTlZTTKXX6g_rJFk3Myym8JZJ0yEIabM626ed8zQ8vT9OV-el-FN245Z-jxBoUki4bbuZBQ3gWatfffBsN22EVa7PG2kHFra9Y569sPzmannh2bd9KJA3WjVrNrG6EESMOe1LpUFGN5u9r9jTrMU5Tt7ikAMtH-J1rUc_OgA3UOX-W3HyLIIus4rni6KA6C-R1i796ZgnhBNZYfoGNCe6dEz90E3TQRc9tlntO_zH2el8u6dOqxqR24NNDkT8M2UYRhuHxU65sksMLob6YLsAlOuVWXr4YZ47Urwsl3EH5rRgjqaWzgujzWmsC9CvKdFbc9nQnosrjzq0-KU6B4EDfhWb9Rvms9gVSFkDzL_q4PMb6nJ0ccVeDtpWs9ornESVHleGg8alPUaCdZZkFw3tdVO2SH7cXhFHcJO2a72ptUOIKWRa1YI698bPkk1jMgNZ0PUqLP0lDzH9Nwmly3UzDWT-h-OWnTyfMCPRTljT0R6pQuY34J4a9OsV30cB9GHkOFKQMQMk1YY1n9mT12H7Q3hKf_xObrXjUsA2Kibiopb8NEjbZ3CwApoKuZyu68a6uKa-U6BiAsRbr8RQedrzGEz95qrbUf7pGEcFYRVF0-fX_rsVj5bu80LM7tqwN1ztG1ObrxoPgGJcTKa_dTnmJnHC4rhHVk-KqTB5loNWdBXQUHwWHLBDl_cgX96DK-4Zv4zcbVx25PuC8fGHhalRWY-IgyRR4WO1m88cdQWz8BkCtS2MjdlHIhCbzmeKis7a5M0-Nrh3_EXuNeR7i6k04g-XmYgnf9JhZoBw7VJwPcvtnHLWV6ytCimIj5ShPaO4yqcM3P8RW6WG6sN-kRIua91WIqcfpcH8Z1L5N5HKob5OUPCcaulpVjFFvSBBu-jpG52OgFUNdK-kztUMtOfdcQ93v8mN1wBIagrQFte-nhEI4Oc0bb39tZ4_klYRLRlvyJbuZ4E76wOiEBFjm57BSVkXJJKIl6fYUZqlenDzvJlDdVqEY-4fJFyAFdDyckWDrn1XyQlIEoqW14r5rWmZlz42iW-UBpqWorB7Ri8tqywDZLnnQO52IcM4BflD1MAIdQRRJ-ApnGopAo_SoDcNaF5kF9T1fGGLCjbkNGEucM-v0MTDKrlIxlFREP2kR9B8UjOJL-4um5km4ky_EiY9mjhsfT1-RT6UHg_q_iKTVraQ6wp0tnedPIdMSLciGKDTI4ftHe9R-hggjEQO1NSBA43ujLDjjIZ3VLM0_KzJvZh8ti4N_tnacA9oyNAXY4QRZi_m17LuQsPlg49CM0m7a5KKlVfcujpEI581dbzHd6LXxxZ1faChAZdwJT8Hms8kjHm-1LnjnLKYi00/https://www.amazon.nl/dp/B0BHW2975C/?_encoding=UTF8&aref=vcdfHXGC9n&pd_rd_i=B0BHW2975C&ref_=sbx_be_s_sparkle_ssd_img&qid=&pd_rd_w=Og7Wt&content-id=amzn1.sym.43cf5ee3-7bdd-4279-b6d9-4846d55dbdc3%3Aamzn1.sym.43cf5ee3-7bdd-4279-b6d9-4846d55dbdc3&pf_rd_p=43cf5ee3-7bdd-4279-b6d9-4846d55dbdc3&pf_rd_r=CJ2CHH6VG2A6SZD6YSYN&pd_rd_wg=f8m8F&pd_rd_r=a65a067a-830f-4a41-9dfb-875c71898e53&pd_rd_plhdr=t
"Lenovo Thinkpad T14s Gen 2 Touchscreen Business Laptop, 14"" FHD Notebook, Intel Core i7-1185G7, 32GB RAM, 512GB SSD, QWERTY Keyboard, Windows 11 Pro (Refurbished)",489.0,,,In stock,"FREE delivery Wednesday, 3 December. Order within 12 hrs 44 mins",No,https://m.media-amazon.com/images/I/613tE5yTQrL._AC_SX679_.jpg,‎B0FYPGMM9X,‎Lenovo,,‎32 x 21 x 2.5 cm; 1.5 kg,,,https://www.amazon.nl/-/en/Thinkpad-Touchscreen-Business-i7-1185G7-Refurbished/dp/B0FYPGMM9X/ref=sr_1_18
"Laptop 39.6 cm (15.6 inch), Win11 PC, notebook, 16 GB RAM, 512 GB SSD, Celeron N95 CPU (up to 3.4 GHz), IPS HD 1920 x 1080 FHD, WiFi 5, HDMI, 2 x USB 3.0, TF Card Slot",289.99,4.1,31,In stock,"FREE delivery Tomorrow, 2 December. Order within 8 hrs 58 mins",Yes,https://m.media-amazon.com/images/I/71f76ZBrIKL._AC_SX679_.jpg,‎B0F8PZ8RJT,‎SADSYMB,,‎35.8 x 23 x 2.1 cm; 2.37 kg,,,https://www.amazon.nl/-/en/SADSYMB-Laptop-Win11-notebook-Celeron/dp/B0F8PZ8RJT/ref=sr_1_27
"Lenovo Legion 5 16IRX9 (83DG00HTMH) Laptop| 16"" WQXGA Screen | Intel Core i7 14650HX | 32GB RAM | 1TB SSD | NVIDIA RTX 4070 8GB GDDR6 | QWERTY Keyboard AI",,4.1,4,"Currently unavailable.
We don't know when or if this item will be back in stock.",,No,https://m.media-amazon.com/images/I/81DNGFzRzhL._AC_SX679_.jpg,‎B0DC6P691J,‎Lenovo,,‎35.97 x 2.52 x 26.23 cm; 4.53 kg,,,https://www.amazon.nl/-/en/IdeaPad-16IMH9-83D4006QMH-Windows-Keyboard/dp/B0DC6P691J/ref=cs_sr_dp_4
